Y,K,L
2871.079554,19281.14258,1.947659165
15754.02652,146811.6559,7.557498345
2372470.298,277594873,66.60447947
1016376.666,150375512.8,27.35764788
286757.1362,56285808.48,24.99900718
2622802.248,393848852.3,3189.05814
34942.32804,365475.0045,14.19131861
69621.07673,527604.6221,24.34202866
7928.476612,357208.4941,4.132513325
395358.9512,56857105.94,52.73071805
62699.04496,4924285.393,3.987584797
19114.21726,5565871.146,2.280984373
555336.7664,54850827.47,20.93999837
444960.722,13715390.47,31.2430148
123948.8708,29233296.85,14.90968503
278214.5046,20460149.01,72.76129448
1928723.714,224742030.3,122.4087844
402227.7714,67462265.68,21.51805772
7778.380312,166071.3636,1.113033191
4705593.531,542137479.8,203.3180823
20152.33369,699580.6367,2.164086945
6725130.475,535201643.5,245.0353379
41961.06177,16530497.97,29.17750785
3371.93642,12171.19472,1.674906467
514754.4194,58244082.7,36.0617524
122449.737,14190714.46,13.46706869
102702.6428,3630740.069,11.56812388
43627.51244,4443744.142,6.323115868
69787.81777,246163.1645,18.41807786
693517.3143,7205323.523,367.6969726
3168439.157,288319815.4,1739.624158
197390.4557,21207437.82,11.17210973
948941.9851,76797681.82,66.28380508
18466.91964,3439431.197,0.681844919
151903.6416,28080567.6,6.932891445
4446557.684,687792941.4,225.9594265
91529.08266,13508419.75,6.628663425
22753.36139,1920834.602,2.00940162
5504763.579,575031117.1,454.348008
83209.00653,10749116.22,36.26578384
441666.4187,23949354.48,73.33417377
75849.90336,16882385.79,37.86651407
3440.567425,4143.805934,3.827818449
54484.30401,10894586.08,1.316097452
91530.3412,20138257.29,37.79015913
1770196.884,207824221.9,98.90017991
24333.37543,171502.2177,12.86649762
26727.97343,151979.9998,38.83975106
6558.492888,208170.9343,4.840700635
14645.70866,3560441.959,2.134247562
11354.31707,2430024.497,17.21567063
123912.3115,7751225.262,27.43422078
14658.90318,334765.617,2.100783201
29196.06081,219569.3804,13.90433487
38008.31613,5225132.029,4.435617684
1495162.865,186347096.2,43.22000323
439905.4778,92783437.95,14.55471397
63443.14113,228284.7547,43.00733346
327353.1119,38800626.38,8.740638223
366623.5815,28155390.3,149.1949602
24913.88731,2618713.973,3.758684104
373267.0042,116898851.3,32.81657838
374974.1842,40372268.86,103.7216687
15495.01957,100499.6674,7.685728554
361721.8141,41743678.12,34.08797768
35275.36024,2523485.379,7.196969317
278112.6498,4033221.911,100.3229275
26079.33187,84108.80564,14.81106088
46477.16336,285529.7324,14.64401742
70793.80334,2652933.675,5.440012416
87701.506,6050351.894,8.179383159
996580.8011,131227059.6,36.62193437
72521.4157,728682.7586,11.52655829
11140.94372,155287.1173,5.87617789
264519.371,29423135.27,133.2318755
54253.6388,7747197.529,2.837318388
915215.694,56446373.49,138.367116
203734.4821,10891036.39,38.191772
49387.81205,397298.0963,53.83738537
47592.9239,3161162.842,34.56670193
120298.6639,17679473.61,11.029926
27892142.44,3046848350,714.8893109
503469.2123,124281763.4,22.2635203
670490.4777,99554360.01,56.98480393
58671.43733,5202360.084,12.15771265
11222.7224,1760160.15,16.57330639
1531339.279,256423390.6,83.34774013
1742838.429,294538954.4,47.81161468
919923.1384,140485528.9,32.27950435
8382.945226,252242.255,15.54927228
1210413.854,227279716.6,37.79771928
18497.14821,2150101.721,8.563947502
470706.2789,18439634.98,267.1779797
118147.4328,14232911.79,14.1223424
2640290.507,422125931.1,271.8786665
21791.14697,3246571.996,0.914077637
3379.677767,246069.2832,1.989350447
16158.6408,974970.7586,8.125461301
3121893.474,392990029.2,73.9789181
1311597.467,260961951.2,30.70301781
336234.3552,86100633.22,27.05408912
2909228.72,481086255.1,3472.083723
50824.04763,3165906.839,16.90637155
81009.51364,3757613.222,25.67540223
10050.96887,1484373.457,4.537771109
491640.9996,77950849,60.03976203
83389.8866,7544186.169,4.74998668
26271.80731,7853162.889,2.394613454
720681.1348,94210648.11,22.51100885
403949.0129,52277273.05,31.45050273
148935.0729,42615166.98,16.9216218
377620.6059,37421996.51,81.40587975
2995246.268,419668430.9,124.8415382
513345.656,104726396.6,22.10870303
9085.825033,1039150.599,1.35611803
6252360.23,907439795.2,208.4387986
32416.95164,4052236.898,2.275520815
7803093.753,830389958.4,254.9799813
